event_index,case_id,reward,completion_length,parse_success,parse_error,score,certificate_score,control_satisfied_resolution,unsafe_release,reward_components,result_class
39,CASE-D-004::variant-0,0.931365,2680,True,,0.8603,1.0,1.0,False,"{'final_score': 0.8603, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
40,CASE-D-004::variant-0,0.931365,2680,True,,0.8603,1.0,1.0,False,"{'final_score': 0.8603, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
41,CASE-C-003,0.87293,1861,True,,0.7503,0.95,1.0,False,"{'final_score': 0.7503, 'certificate_score': 0.95, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
42,CASE-C-003,0.87293,1861,True,,0.7503,0.95,1.0,False,"{'final_score': 0.7503, 'certificate_score': 0.95, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
43,CASE-C-003,0.87293,1861,True,,0.7503,0.95,1.0,False,"{'final_score': 0.7503, 'certificate_score': 0.95, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
44,CASE-C-003,0.87293,1861,True,,0.7503,0.95,1.0,False,"{'final_score': 0.7503, 'certificate_score': 0.95, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
45,CASE-C-004::variant-1,0.58671,1968,True,,0.4896,0.8375,0.0,False,"{'final_score': 0.4896, 'certificate_score': 0.8375, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.92, 'institutional_loss_score': 0.9753, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
46,CASE-C-004::variant-1,0.58671,1968,True,,0.4896,0.8375,0.0,False,"{'final_score': 0.4896, 'certificate_score': 0.8375, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.92, 'institutional_loss_score': 0.9753, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
47,CASE-C-004::variant-1,0.58671,1968,True,,0.4896,0.8375,0.0,False,"{'final_score': 0.4896, 'certificate_score': 0.8375, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.92, 'institutional_loss_score': 0.9753, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
48,CASE-C-004::variant-1,0.58671,1968,True,,0.4896,0.8375,0.0,False,"{'final_score': 0.4896, 'certificate_score': 0.8375, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.92, 'institutional_loss_score': 0.9753, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
49,CASE-E-002::variant-1,0.849375,2895,True,,0.6781,1.0,1.0,False,"{'final_score': 0.6781, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
50,CASE-E-002::variant-1,0.849375,2895,True,,0.6781,1.0,1.0,False,"{'final_score': 0.6781, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
51,CASE-E-002::variant-1,0.849375,2895,True,,0.6781,1.0,1.0,False,"{'final_score': 0.6781, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
52,CASE-E-002::variant-1,0.35753,5222,True,partial_json_recovery: Unterminated string starting at: line 1 column 5210 (char 5209),0.0452,0.6975,0.0,False,"{'final_score': 0.0452, 'certificate_score': 0.6975, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8333, 'institutional_loss_score': 0.9847, 'parse_success': 1.0, 'unsafe_release': 0.0}",falsifier_blocked
53,CASE-A-001,0.64735,2163,True,,0.3176,0.9308,1.0,False,"{'final_score': 0.3176, 'certificate_score': 0.9308, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.6632, 'institutional_loss_score': 0.9698, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
54,CASE-A-001,0.36554,4305,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 1300 (char 1299)",0.1578,0.56,0.0,False,"{'final_score': 0.1578, 'certificate_score': 0.56, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.6261, 'institutional_loss_score': 0.9584, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
55,CASE-A-001,0.36554,2081,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 1616 (char 1615)",0.1578,0.56,0.0,False,"{'final_score': 0.1578, 'certificate_score': 0.56, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.6261, 'institutional_loss_score': 0.9584, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
56,CASE-A-001,0.36554,1688,True,partial_json_recovery: Expecting property name enclosed in double quotes: line 1 column 1622 (char 1621),0.1578,0.56,0.0,False,"{'final_score': 0.1578, 'certificate_score': 0.56, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.6261, 'institutional_loss_score': 0.9584, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
57,CASE-E-001::variant-1,0.85223,3338,True,,0.6849,0.9987,1.0,False,"{'final_score': 0.6849, 'certificate_score': 0.9987, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.945, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
58,CASE-E-001::variant-1,0.35161,1471,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 1472 (char 1471)",0.0349,0.6975,0.0,False,"{'final_score': 0.0349, 'certificate_score': 0.6975, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8215, 'institutional_loss_score': 0.9826, 'parse_success': 1.0, 'unsafe_release': 0.0}",falsifier_blocked
59,CASE-E-001::variant-1,0.863685,3373,True,,0.7099,1.0,1.0,False,"{'final_score': 0.7099, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
60,CASE-E-001::variant-1,0.863685,3373,True,,0.7099,1.0,1.0,False,"{'final_score': 0.7099, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
61,CASE-D-003,0.927045,2649,True,,0.8507,1.0,1.0,False,"{'final_score': 0.8507, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
62,CASE-D-003,0.88596,2629,True,,0.7594,1.0,1.0,False,"{'final_score': 0.7594, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
63,CASE-D-003,0.927045,2647,True,,0.8507,1.0,1.0,False,"{'final_score': 0.8507, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
64,CASE-D-003,0.927045,2649,True,,0.8507,1.0,1.0,False,"{'final_score': 0.8507, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
65,CASE-B-004,0.57244,1442,True,,0.42,1.0,0.0,False,"{'final_score': 0.42, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8488, 'institutional_loss_score': 0.9712, 'parse_success': 1.0, 'unsafe_release': 0.0}",control_boundary_failed
66,CASE-B-004,0.57244,1442,True,,0.42,1.0,0.0,False,"{'final_score': 0.42, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8488, 'institutional_loss_score': 0.9712, 'parse_success': 1.0, 'unsafe_release': 0.0}",control_boundary_failed
67,CASE-B-004,0.57244,1442,True,,0.42,1.0,0.0,False,"{'final_score': 0.42, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8488, 'institutional_loss_score': 0.9712, 'parse_success': 1.0, 'unsafe_release': 0.0}",control_boundary_failed
68,CASE-B-004,0.57244,1442,True,,0.42,1.0,0.0,False,"{'final_score': 0.42, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8488, 'institutional_loss_score': 0.9712, 'parse_success': 1.0, 'unsafe_release': 0.0}",control_boundary_failed
69,CASE-A-003,0.919745,1924,True,,0.9161,0.95,1.0,False,"{'final_score': 0.9161, 'certificate_score': 0.95, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.6651, 'institutional_loss_score': 0.9698, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
70,CASE-A-003,0.43304,1925,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 1460 (char 1459)",0.3078,0.56,0.0,False,"{'final_score': 0.3078, 'certificate_score': 0.56, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.6261, 'institutional_loss_score': 0.9584, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
71,CASE-A-003,0.43304,330,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 327 (char 326)",0.3078,0.56,0.0,False,"{'final_score': 0.3078, 'certificate_score': 0.56, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.6261, 'institutional_loss_score': 0.9584, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
72,CASE-A-003,0.919745,1924,True,,0.9161,0.95,1.0,False,"{'final_score': 0.9161, 'certificate_score': 0.95, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.6651, 'institutional_loss_score': 0.9698, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
73,CASE-B-003,0.995495,1268,True,,0.99,1.0,1.0,False,"{'final_score': 0.99, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 1.0, 'institutional_loss_score': 0.9999, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
74,CASE-B-003,0.995495,1268,True,,0.99,1.0,1.0,False,"{'final_score': 0.99, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 1.0, 'institutional_loss_score': 0.9999, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
75,CASE-B-003,0.995495,1268,True,,0.99,1.0,1.0,False,"{'final_score': 0.99, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 1.0, 'institutional_loss_score': 0.9999, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
76,CASE-B-003,0.995495,1268,True,,0.99,1.0,1.0,False,"{'final_score': 0.99, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 1.0, 'institutional_loss_score': 0.9999, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
77,CASE-C-001,0.854615,1894,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 325 (char 324)",0.7096,0.95,1.0,False,"{'final_score': 0.7096, 'certificate_score': 0.95, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
78,CASE-C-001,0.611645,1817,True,,0.503,0.95,0.0,False,"{'final_score': 0.503, 'certificate_score': 0.95, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
79,CASE-C-001,0.8642,1927,True,,0.7309,0.95,1.0,False,"{'final_score': 0.7309, 'certificate_score': 0.95, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
80,CASE-C-001,0.8642,1927,True,,0.7309,0.95,1.0,False,"{'final_score': 0.7309, 'certificate_score': 0.95, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
81,CASE-C-003::variant-0,0.595435,6500,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 191 (char 190)",0.4679,0.95,0.0,False,"{'final_score': 0.4679, 'certificate_score': 0.95, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9852, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
82,CASE-C-003::variant-0,0.614885,1866,True,,0.5102,0.95,0.0,False,"{'final_score': 0.5102, 'certificate_score': 0.95, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
83,CASE-C-003::variant-0,0.614885,1860,True,,0.5102,0.95,0.0,False,"{'final_score': 0.5102, 'certificate_score': 0.95, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
84,CASE-C-003::variant-0,0.614885,1860,True,,0.5102,0.95,0.0,False,"{'final_score': 0.5102, 'certificate_score': 0.95, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9312, 'institutional_loss_score': 0.9935, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
85,CASE-D-001::variant-0,0.74973,2675,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
86,CASE-D-001::variant-0,0.74973,2673,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
87,CASE-D-001::variant-0,0.74973,2675,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
88,CASE-D-001::variant-0,0.74973,2675,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
89,CASE-D-002,0.524395,2183,True,,0.4494,0.8875,0.0,False,"{'final_score': 0.4494, 'certificate_score': 0.8875, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.4361, 'institutional_loss_score': 0.9086, 'parse_success': 1.0, 'unsafe_release': 0.0}",false_positive_overcontrol
